"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","A.U_3. Add External User","Add User","Sun May 25 21:51:01 UTC 2025","skipped","Sun May 25 21:51:01 UTC 2025","","1.1 Org Admin","",""
"","67168","3.4 --- Duplicating item with Currency Form attached","Add Item","Sun May 25 21:35:31 UTC 2025","passed","Sun May 25 21:36:38 UTC 2025","","3 Add Item with Custom Form","",""
"","12253","3.2 verify Office Case Number Format with custom validation message","Add Case","Sun May 25 21:18:16 UTC 2025","passed","Sun May 25 21:18:28 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","86102","3.2. --- with required Custom Form but not filled out, all optional fields on Form","Add Person","Sun May 25 21:45:26 UTC 2025","failed","Sun May 25 21:46:52 UTC 2025","","3. Add Person with Custom Form","",""
"","2","2. Item with all fields - Disposed Status","","Sun May 25 21:15:23 UTC 2025","broken","Sun May 25 21:15:23 UTC 2025","","Import Items","",""
"","1","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Sun May 25 21:14:46 UTC 2025","skipped","Sun May 25 21:14:46 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","103652","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Sun May 25 21:30:52 UTC 2025","failed","Sun May 25 21:32:36 UTC 2025","","Edit User","",""
"","600","9 Validation messages for blank values","","Sun May 25 21:16:12 UTC 2025","failed","Sun May 25 21:16:12 UTC 2025","","Import Notes","",""
"","601","1. Report from Case View page - Items tab","Reports","Sun May 25 21:16:01 UTC 2025","failed","Sun May 25 21:16:02 UTC 2025","","Verify generating and opening Report ""Primary Label 4X3""","",""
"","2587","U.A_1. Send verification email","","Sun May 25 21:15:41 UTC 2025","failed","Sun May 25 21:15:43 UTC 2025","","User Actions","",""
"","21655","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sun May 25 21:20:58 UTC 2025","passed","Sun May 25 21:21:20 UTC 2025","","Edit Case","",""
"","0","5 Validation messages for invalid values","","Sun May 25 21:15:31 UTC 2025","skipped","Sun May 25 21:15:31 UTC 2025","","Import Legacy Chain of Custody","",""
"","132","1.2 Validation messages","","Sun May 25 21:15:51 UTC 2025","failed","Sun May 25 21:15:51 UTC 2025","","Login page","",""
"","21083","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Sun May 25 21:27:33 UTC 2025","passed","Sun May 25 21:27:54 UTC 2025","","Edit Item","",""
"","0","I.C.U_2 Case Updates Import - Precheck Only","","Sun May 25 21:14:56 UTC 2025","skipped","Sun May 25 21:14:56 UTC 2025","","Import Case Updates","",""
"","670","8 Validation messages for invalid values","","Sun May 25 21:16:11 UTC 2025","failed","Sun May 25 21:16:12 UTC 2025","","Import Notes","",""
"","26721","4.2 verify Org Default Case Number Prefix, keep a default value as part of the Case Number","Add Case","Sun May 25 21:19:02 UTC 2025","passed","Sun May 25 21:19:29 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","0","1.2. DR for single child location - No Discrepancies Found","Inventory Reports","Sun May 25 21:14:46 UTC 2025","skipped","Sun May 25 21:14:46 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","16702","Add User ","","Sun May 25 21:47:55 UTC 2025","failed","Sun May 25 21:48:12 UTC 2025","","Add User","",""
"","557","3. Import Person with all fields - Precheck Only","","Sun May 25 21:16:22 UTC 2025","failed","Sun May 25 21:16:22 UTC 2025","","Import People","",""
"","0","1.7. Create and run DR for single child location - multiple Discrepancies Found","Inventory Reports","Sun May 25 21:14:46 UTC 2025","skipped","Sun May 25 21:14:46 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","579","2 Import Notes for Item","","Sun May 25 21:16:08 UTC 2025","failed","Sun May 25 21:16:09 UTC 2025","","Import Notes","",""
"","0","4 Validation messages for wrongly formatted values","","Sun May 25 21:15:31 UTC 2025","skipped","Sun May 25 21:15:31 UTC 2025","","Import Legacy Chain of Custody","",""
"","22130","4.3 verify Org Default Case Number Prefix and Org Formatting pattern, before and after page reload","Add Case","Sun May 25 21:19:29 UTC 2025","passed","Sun May 25 21:19:51 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","677","2 Import Media - Precheck Only","","Sun May 25 21:15:59 UTC 2025","failed","Sun May 25 21:16:00 UTC 2025","","Import Media","",""
"","12989","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Sun May 25 21:47:32 UTC 2025","failed","Sun May 25 21:47:45 UTC 2025","","1.1 Org Admin","",""
"","11230","1.2.1. Office Admin can create a new user account","Add User","Sun May 25 21:51:01 UTC 2025","failed","Sun May 25 21:51:13 UTC 2025","","1.2 Power User -- all permissions in Office","",""
"","16894","1. Edit and verify all values on Person View page","","Sun May 25 21:28:46 UTC 2025","failed","Sun May 25 21:29:03 UTC 2025","","Edit Person","",""
"","58619","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)","","Sun May 25 21:17:53 UTC 2025","passed","Sun May 25 21:18:52 UTC 2025","","Edit Case","",""
"","628","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Sun May 25 21:15:40 UTC 2025","failed","Sun May 25 21:15:40 UTC 2025","","Import Tasks","",""
"","1","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Sun May 25 21:15:51 UTC 2025","skipped","Sun May 25 21:15:51 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","2","1.1 Org Admin-- All fields enabled -- redirect to View Added Case","Add Case","Sun May 25 21:15:51 UTC 2025","broken","Sun May 25 21:15:51 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","41050","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action","Add Item","Sun May 25 21:29:42 UTC 2025","passed","Sun May 25 21:30:23 UTC 2025","","1. Org Admin","",""
"","235","1.1.1 equals {email of the user (current user) who created a case}","Cases Search","Sun May 25 21:15:12 UTC 2025","failed","Sun May 25 21:15:12 UTC 2025","1.1 Created By","1 Org Admin","",""
"","583","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Sun May 25 21:16:20 UTC 2025","failed","Sun May 25 21:16:21 UTC 2025","","Import People","",""
"","649","6 Validation messages for not mapped fields","","Sun May 25 21:16:10 UTC 2025","failed","Sun May 25 21:16:10 UTC 2025","","Import Notes","",""
"","2","1. Import Person with all updated fields","","Sun May 25 21:16:31 UTC 2025","broken","Sun May 25 21:16:31 UTC 2025","","Import People Updates","",""
"","48370","3.3 --- with required Currency Form attached - System Template","Add Item","Sun May 25 21:34:42 UTC 2025","passed","Sun May 25 21:35:31 UTC 2025","","3 Add Item with Custom Form","",""
"","0","5. Import update for item status (Undispose transaction)","","Sun May 25 21:15:13 UTC 2025","skipped","Sun May 25 21:15:13 UTC 2025","","Import Item Updates","",""
"","97402","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Sun May 25 21:32:36 UTC 2025","passed","Sun May 25 21:34:14 UTC 2025","","Edit User","",""
"","183","1.1.1 'equals' correct Person's name","Search Checkouts","Sun May 25 21:15:20 UTC 2025","failed","Sun May 25 21:15:20 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","72761","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Sun May 25 21:23:38 UTC 2025","passed","Sun May 25 21:24:51 UTC 2025","","Edit Item","",""
"","0","1.4 Org Admin-- minimum case fields -- redirect to Add Person page","Add Case","Sun May 25 21:15:51 UTC 2025","skipped","Sun May 25 21:15:51 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","658","I.U_1 Import User with all fields - Precheck Only","","Sun May 25 21:16:39 UTC 2025","failed","Sun May 25 21:16:40 UTC 2025","","Import Users","",""
"","1","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Sun May 25 21:14:46 UTC 2025","broken","Sun May 25 21:14:46 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","333697","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Sun May 25 21:52:13 UTC 2025","failed","Sun May 25 21:57:47 UTC 2025","","Dispo Auth","",""
"","2","5 Five thousand notes for Case and verify notes count on search","","Sun May 25 21:16:10 UTC 2025","skipped","Sun May 25 21:16:10 UTC 2025","","Import Notes","",""
"","70352","3.5 --- Splitting item with Currency Form attached","Add Item","Sun May 25 21:36:39 UTC 2025","passed","Sun May 25 21:37:49 UTC 2025","","3 Add Item with Custom Form","",""
"","31275","4. Edit and verify reduced number of values on Item View page ","","Sun May 25 21:27:01 UTC 2025","passed","Sun May 25 21:27:32 UTC 2025","","Edit Item","",""
"","1","1 Import Legacy Chain of Custody - Checked In transaction","","Sun May 25 21:15:31 UTC 2025","broken","Sun May 25 21:15:31 UTC 2025","","Import Legacy Chain of Custody","",""
"","690","1 Import Notes for Case","","Sun May 25 21:16:08 UTC 2025","failed","Sun May 25 21:16:08 UTC 2025","","Import Notes","",""
"","55843","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Sun May 25 21:27:00 UTC 2025","passed","Sun May 25 21:27:56 UTC 2025","","1. Org Admin","",""
"","36432","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Sun May 25 21:29:03 UTC 2025","passed","Sun May 25 21:29:40 UTC 2025","","Edit Person","",""
"","46447","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Sun May 25 21:23:08 UTC 2025","passed","Sun May 25 21:23:54 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","17673","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Sun May 25 21:43:30 UTC 2025","passed","Sun May 25 21:43:48 UTC 2025","","1. Org Admin","",""
"","2","I.C_1 Case with all fields -- user and user group in Case Officer(s) field","","Sun May 25 21:15:04 UTC 2025","broken","Sun May 25 21:15:04 UTC 2025","","Import Cases","",""
"","9446","2.1. verify that user can add all values","Add Person","Sun May 25 21:44:00 UTC 2025","failed","Sun May 25 21:44:10 UTC 2025","","2. Power User -- all permissions in Office","",""
"","0","2 Import Person with all updated fields - Precheck Only","","Sun May 25 21:16:31 UTC 2025","skipped","Sun May 25 21:16:31 UTC 2025","","Import People Updates","",""
"","0","1.5. Create and run DR for multiple parent and child locations  - starting with Child loc - switching back to parent location-  No Discrepancies Found","Inventory Reports","Sun May 25 21:14:46 UTC 2025","skipped","Sun May 25 21:14:46 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","588","1 Import Media","","Sun May 25 21:15:59 UTC 2025","failed","Sun May 25 21:15:59 UTC 2025","","Import Media","",""
"","29174","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Sun May 25 21:18:32 UTC 2025","passed","Sun May 25 21:19:02 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","36293","1.1. All fields enabled -- redirect to View Added Person","Add Person","Sun May 25 21:42:34 UTC 2025","passed","Sun May 25 21:43:10 UTC 2025","","1. Org Admin","",""
"","662","2.1 Cancelling warning keeps user logged in on other machine","Login page","Sun May 25 21:15:51 UTC 2025","failed","Sun May 25 21:15:52 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
